GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lectureDemoJenkisExample_F2024,org.example,App,7,0,0,0,3,0,2,0,2,0
lectureDemoJenkisExample_F2024,org.example,InvestmentCalculator,22,26,0,0,7,6,1,2,1,2
